Mixture,state,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-BC-A10Q-01A,cancer,0,0,0.032757228,0.155525721,0,0.124585393,0,0,0.071178152,0,0,0.064447915,0.170052588,0.132475123,0.027881326,0.142776204,0.027318109,0,0.049759805,0,0,0.001242437
TCGA-BC-A10Q-11A,normal,0.067248866,0,0.00747496,0.05477109,0,0.153227131,0,0,0,0.038146592,0.033982563,0.010689874,0.155280092,0.063467548,0.04569272,0.32384118,0,0,0.012753169,0,0,0.033424216
TCGA-BC-A10R-01A,cancer,0.035429136,0,0.019521349,0.039200854,0,0.160285393,0,0,0.02945357,0,0,0.023811285,0.033491495,0.149162887,0.076238718,0.383763417,0.007849406,0,0.038650063,0,0,0.003142427
TCGA-BC-A10R-11A,normal,0.01060491,0,0.010083108,0.089651572,0,0.136688723,0,0.022279116,0,0.023647587,0,0.045055063,0.155018968,0,0.079863846,0.33848145,0,0,0,0.080381282,0.001627658,0.006616717
TCGA-BC-A10T-01A,cancer,0.042779073,0,0.002874264,0.25592119,0,0.177384791,0,0,0.01995429,0,0,0.066443012,0.013244095,0.105525164,0.058602127,0.196909373,0.011383254,0,0.048979367,0,0,0
TCGA-BC-A10T-11A,normal,0.032939183,0,0.026643304,0.080615069,0,0.188679688,0,0.009668693,0,0.070375698,0,0.01700193,0.10910049,0.129255316,0.056343826,0.24110389,0,0,0.023588749,0,0,0.014684164
TCGA-BC-A10U-01A,cancer,0.160457465,0,0.001771423,0.061895916,0,0.0590802,0,0,0.101136946,0.063632609,0,0.010875106,0,0.234683334,0.012105853,0.269117811,0,0,0.025243336,0,0,0
TCGA-BC-A10U-11A,normal,0.054623871,0,0.066674935,0.139376956,0,0.133899189,0,0,0.031448216,0,0.005941571,0.010562128,0.130576156,0.134559914,0.033611051,0.182639941,0,0,0,0.069275657,0,0.006810416
TCGA-BC-A10W-01A,cancer,0.040079059,0,0.004072575,0.03847641,0,0.149394483,0,0.025513809,0.066694107,0.01941469,0,0.035977684,0.063941271,0.155826108,0.023567767,0.256650297,0.092849227,0,0.027542514,0,0,0
TCGA-BC-A10W-11A,normal,0,0,0.094289205,0.199165494,0,0.096753902,0,0.006429869,0.067665789,0.005044315,0,0.029777183,0.13994904,0.075605915,0.044651023,0.232503688,0,0,0.006335778,0,0,0.001828799
TCGA-BC-A10X-01A,cancer,0.064508033,0,0.031247309,0.104576523,0,0.161594372,0,0,0.023664993,0.021114961,0.0071315,0.010765165,0.083950337,0.075149887,0.060335217,0.342745864,0,0,0.013215839,0,0,0
TCGA-BC-A10X-11A,normal,0.051405136,0,0.013905899,0.061609685,0,0.140533545,0,0,0.010112399,0.082240139,0,0.055818069,0.037323341,0.083436242,0.063416638,0.336927809,0,0,0,0.05805684,0,0.005214259
TCGA-BC-A10Y-01A,cancer,0.036008549,0,0.007667654,0.203346999,0,0.235072479,0,0.030047436,0.09254977,0,0,0.069987457,0.042731087,0.010916374,0.053867761,0.157811097,0,0.030164445,0.029660999,0,0,0.000167892
TCGA-BC-A10Y-11A,normal,0.03145508,0,0.01443346,0.094238884,0,0.0789183,0,0,0.021432834,0.04446993,0,0.053952166,0.06743721,0.149070317,0.054192171,0.345266652,0,0,0,0.037211667,0,0.00792133
TCGA-BC-A10Z-01A,cancer,0.266627255,0,0,0.037934366,0,0.007487396,0,0.051313154,0.032704221,0,0.039286834,0,0,0.226876514,0.046904308,0.237899142,0,0,0.044146583,0,0,0.008820227
TCGA-BC-A10Z-11A,normal,0.017806032,0,0.019668829,0.120876535,0,0.023767422,0,0.011336555,0.046992098,0.005204026,0,0.048625812,0.075805461,0.310238167,0.038641438,0.170898895,0,0,0,0.101151683,0,0.008987048
TCGA-BC-A110-01A,cancer,0.040145252,0,0.047454059,0.090247161,0,0.220221248,0,0,0.042849893,0,0,0.00845664,0.20309408,0.08470666,0.064661618,0.150750111,0,0,0.039806792,0,0,0.007606486
TCGA-BC-A110-11A,normal,0.001224239,0,0.0162276,0.063066302,0,0.154791799,0,0,0.041228068,0,0.060433172,0,0.189853607,0.075577595,0.047614968,0.296862831,0,0,0.028719312,0,0.000753128,0.023647378
TCGA-BC-A216-01A,cancer,0.012859955,0,0.014215386,0.639575801,0,0,0.140183668,0.0355687,0.05355651,0,0.02918047,0,0.010822057,0.024341381,0.004988174,0.03118496,0,0,0.003496548,0,0,2.64E-05
TCGA-BC-A216-11A,normal,0.010910809,0,0.138884741,0.097579727,0,0.101889288,0,0,0,0.010856703,0.032605342,0.032476026,0.118457956,0.066372984,0.046846675,0.329536862,0,0,0,0.013582886,0,0
TCGA-BD-A2L6-01A,cancer,0.041445306,0,0,0.235043837,0,0.241594889,0,0,0.099279333,0,0.065440083,0.004396133,0.033054132,0.068821618,0.051995276,0.142410047,0,0,0.016519346,0,0,0
TCGA-BD-A2L6-11A,normal,0.012964433,0,0.009978471,0.157043361,0,0.263452408,0,0,0.028099457,0.041468345,0,0.016130638,0.022703462,0.152581755,0.062927387,0.228840776,0.002126762,0,0,0.001682744,0,0
TCGA-BD-A3EP-01A,cancer,0.081114958,0.072371633,0.073719293,0.145503503,0,0.242201614,0,0.02658493,0.117527167,0,0,0.014115612,0.022786782,0.062455507,0.02863409,0.08696295,0.012131177,0,0.008286516,0,0,0.005604268
TCGA-BD-A3EP-11A,normal,0.053590685,0,0.015234038,0.078316709,0,0.196319437,0,0,0.070981458,0,0,0.091693699,0.04004749,0.091758692,0.080234857,0.206373764,0.006243006,0,0,0.051965564,0,0.017240601
TCGA-DD-A113-01A,cancer,0.011197979,0,0.026177086,0.179983803,0,0.119643713,0,8.78E-06,0.122020357,0,0,0.067323553,0.003539933,0.275142143,0.040089004,0.120089525,0.001650944,0,0.033133183,0,0,0
