Mixture,state,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils
TCGA-BC-A10Q-11A,normal,0.068305397,0,0.013045255,0.076202243,0,0.137951037,0,0,0.016560387,0,0.061180325,0.011900174,0.226401357,0.022618643,0.031193439,0.307643744,0,0,0.009929613,0,0,0.017068385
TCGA-BC-A10R-11A,normal,0.026118661,0,0.013689217,0.094135278,0,0.139021305,0,0.028743119,0,0.026501607,0,0.04508954,0.112990599,0,0.075966908,0.338067164,0,0,0,0.08513625,0.007239372,0.00730098
TCGA-BC-A10T-11A,normal,0.026337703,0,0.021099118,0.11985506,0,0.209103189,0,0,0,0.032214934,0.010021587,0.009286164,0.116539921,0.096159712,0.056761011,0.265924908,0,0,0.028423057,0,0,0.008273633
TCGA-BC-A10U-11A,normal,0.066443762,0,0.071106185,0.115296189,0,0.165172595,0,0,0.003847311,0,0.006157849,0.025978621,0.1212295,0.16073655,0.048927107,0.127924701,0,0,0,0.041926011,0.045253619,0
TCGA-BC-A10W-11A,normal,0.036904616,0,0.096424606,0.177813965,0,0.090496681,0.022125907,0.000930312,0.059268403,0,0.007451915,0.015468593,0.133195771,0.084397116,0.030753061,0.234364613,0,0,0.00438185,0,0.006022592,0
TCGA-BC-A10X-11A,normal,0.044823387,0,0.021124591,0.043362947,0,0.132491089,0,0.001683303,0,0.112320049,0,0.066561531,0.063696789,0.108696562,0.069754253,0.282225384,0,0,0,0.053260114,0,0
TCGA-BC-A10Y-11A,normal,0.019579458,0,0.020088166,0.082123824,0,0.120315624,0,0.00966868,0.01294926,0.01465497,0.005639063,0.044874808,0.075590585,0.159897636,0.053132624,0.333525939,0,0,0,0.038029922,0,0.009929441
TCGA-BC-A10Z-11A,normal,0.036859645,0,0.016102591,0.12320248,0,0.019380433,0,0.027371326,0.03416192,0.000315335,0,0.061459648,0.09325903,0.278347248,0.032378577,0.166776592,0,0,0,0.102529962,0,0.007855212
TCGA-BC-A110-11A,normal,0,0,0.021561781,0.047456473,0,0.157474012,0,0,0.031530421,0,0.061649083,0,0.171819354,0.098033513,0.039644544,0.285885731,0,0,0.030560314,0,0.029124927,0.025259847
TCGA-BC-A216-11A,normal,0.021623457,0,0.145641896,0.129862385,0,0.062465924,0,0.004973585,0.02156421,0,0.043197155,0.022777296,0.108766267,0.056942931,0.022878731,0.350509588,0,0,0,0.003901799,0,0.004894774
TCGA-BD-A2L6-11A,normal,0.021425343,0,0.012870506,0.143704925,0,0.293627355,0.007843119,0.008827867,0.073216064,0,0,0.012231448,0.026201201,0.136162574,0.065814997,0.194140163,0.003934438,0,0,0,0,0
TCGA-BD-A3EP-11A,normal,0.079738336,0,0.004828735,0.062256433,0,0.215648524,0,0,0.05918976,0.003848313,0,0.084411367,0.027665925,0.092375545,0.087086992,0.220670334,0.000622104,0,0,0.046825136,0,0.014832497
TCGA-DD-A113-11A,normal,0.047101009,0,0.025484192,0.033021501,0,0.155170395,0,0,0.040445214,0,0.039659166,0.037400674,0.140547204,0.132449986,0.025650318,0.258703648,0,0,0.049991862,0,0,0.01437483
TCGA-DD-A114-11A,normal,0.043921652,0,0.030952094,0.199020835,0,0.287662267,0.012898873,0.017650561,0.033117828,0.018675755,0,0.010034366,0.022555711,0.039375834,0.071714989,0.18802728,0,0,0.008780223,0,0,0.015611732
TCGA-DD-A116-11A,normal,0.058151082,0,0.047807351,0.173091089,0,0.172653846,0.011458014,0.001335311,0.085005711,0.02476639,0.051565716,0,0.044875714,0.035269364,0.049561667,0.241854754,0,0,0,0.002603991,0,0
TCGA-DD-A118-11A,normal,0.033874958,0,0.011978975,0.08456737,0,0.128133703,0,0,0.006466082,0.013195422,0.031892678,0.04140356,0.160925858,0.044246025,0.034933453,0.356400974,0,0,0.012786328,0,0,0.039194613
TCGA-DD-A119-11A,normal,0.036113553,0,0.049116003,0.07550625,0,0.148212994,0,0.002246898,0,0,0,0.039973225,0.151117443,0.049028927,0.048699142,0.362700426,0,0,0.013166792,0,0,0.024118348
TCGA-DD-A11A-11A,normal,0,0.006675479,0.02850668,0.07651965,0,0.157626969,0,0.007062673,0.024302409,0.022303846,0.003220045,0.026497168,0.114364214,0.206199374,0.05721614,0.253802179,0,0,0.015703173,0,0,0
TCGA-DD-A11B-11A,normal,0.106699884,0,0.052981347,0.146614755,0,0.250925569,0.004791606,0,0.030183027,0,0.015960535,0.014888265,0.029686546,0.067877299,0.026405315,0.249600519,0,0,0,0.003385333,0,0
TCGA-DD-A11C-11A,normal,0.053831636,0,0.056010301,0.16080966,0,0.143708488,0,0,0.009583981,0,0.068513033,0.003585333,0.068415453,0.038700231,0.043695667,0.320107475,0,0,0.026905357,0,0,0.006133387
TCGA-DD-A11D-11A,normal,0.07873015,0,0.038801912,0.167243005,0,0.217427478,0.027260774,0,0.081809379,0.005059145,0,0,0.040831757,0.039188387,0.073385897,0.20639912,0,0,0.005626745,0,0,0.018236251
TCGA-DD-A1EB-11A,normal,0.041168006,0,0.024606713,0.250812749,0,0.127183075,0,0.011097408,0.021805613,0,0.018276911,0,0.081878069,0.044365033,0.044280874,0.308343682,0,0,0.010467824,0,0,0.015714043
TCGA-DD-A1EC-11A,normal,0.041719633,0,0.039262705,0.061608579,0,0.10674294,0,0,0.011547151,0.006273496,0.026704896,0.014705511,0.097814342,0.025048191,0.074857409,0.475815993,0,0,0,0.017899154,0,0
TCGA-DD-A1EE-11A,normal,0.053438167,0,0.042747871,0.106720208,0,0.196483672,0,0.005971733,0.092784961,0,0,0.026186962,0.07728219,0.084906,0.07299707,0.211103101,0,0,0.029378065,0,0,0
TCGA-DD-A1EG-11A,normal,0.03101622,0,0.012948941,0.122364811,0,0.163836791,0,0.001537002,0.033492152,0.027159909,0,0.053790119,0.069447912,0.101307878,0.091867773,0.246272719,0,0,0,0.032659197,0,0.012298575
