Gene symbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
ABCB4	-0.061492935	-0.289825168	-0.29129932	-0.292520459	-0.292397036	-0.291223643	-0.290956527	-0.291615998	-0.291044888	-0.290425125	-0.288593946	-0.292417627	-0.291728074	-0.290995331	-0.282780626	-0.243448882	-0.246296086	-0.29228545	-0.292345867	-0.280033802	-0.288029287	-0.288081091
ABCB9	-0.287789205	-0.285069492	-0.020567253	-0.284177506	-0.279381092	-0.281737159	-0.278214682	-0.286950717	-0.27502278	-0.286066277	-0.285166304	-0.287457121	-0.285817526	-0.270758285	-0.282016752	-0.27740402	-0.242375858	-0.284529082	-0.271925205	-0.284432238	-0.281846828	-0.280215855
ACAP1	-0.204117513	-0.159573423	-0.278147037	0.147956084	0.455691493	0.092038496	-0.151502825	0.169820607	0.54174427	-0.176980153	-0.079541225	-0.131937075	-0.214351953	-0.273808336	-0.281349156	-0.284667117	-0.268606955	-0.283260271	-0.250668811	-0.263486417	-0.002529884	-0.044602722
ACHE	-0.287992661	-0.287351242	-0.285057362	-0.288700598	-0.28293564	-0.286598717	-0.288695159	-0.288123554	-0.283997768	-0.280224527	-0.287349193	-0.288695159	-0.287465867	-0.288589704	0.280964501	-0.273970254	-0.287323327	-0.213396275	-0.288482522	-0.285737156	-0.277393685	-0.284788059
ACP5	-0.040466774	0.516487572	0.174976773	-0.165987408	0.017670824	-0.060610403	-0.190190144	0.003967244	0.107441641	-0.087362691	-0.151529341	-0.194074049	-0.079417846	5.422334331	0.15083136	2.904164281	5.498120333	1.377354454	-0.183925946	-0.158835908	0.066233664	-0.165639537
ADAM28	0.520066188	0.186714741	-0.158249533	-0.284820226	-0.277541675	-0.285430435	-0.287954252	-0.284153338	-0.263001067	-0.284115904	-0.213207978	-0.254772479	-0.269895469	-0.271296845	-0.179257622	-0.143207562	-0.27870225	-0.272028738	-0.236568633	-0.245356412	-0.065560114	-0.240409676
ADAMDEC1	-0.13887045	-0.160889957	-0.240710764	-0.275633391	-0.260404148	-0.274453024	-0.281525664	-0.265526875	-0.228669138	-0.197195386	-0.265719735	-0.2740484	-0.249788473	1.576118192	3.277084402	1.802664754	-0.225261309	0.45339412	0.01161049	0.36337493	-0.220933787	-0.216603185
ADAMTS3	-0.233073512	-0.24989281	-0.263180042	-0.276565991	-0.26112593	-0.270283152	-0.271947718	-0.279490208	-0.26236661	-0.266980702	-0.281155999	-0.273034284	-0.271367827	-0.275237787	-0.280776863	-0.280353163	-0.27392324	-0.275796523	-0.021912077	-0.124122332	-0.252120239	-0.242223416
ADRB2	-0.090557555	-0.080611962	-0.172906504	0.082609625	-0.262000697	-0.044944365	-0.234482823	-0.253612566	-0.203381437	0.702201568	0.525846693	0.694667926	-0.015752471	-0.234404906	0.035673376	-0.142158866	-0.220739562	-0.259588323	1.645006962	0.915640207	0.530660614	0.013902873
AIF1	-0.284240112	-0.285812317	-0.285121954	0.01689957	0.006759776	-0.279590273	-0.277773352	-0.286333603	-0.282022552	0.161089608	-0.250025944	-0.284618819	3.332246385	0.477131776	0.380748789	4.570174622	1.082297201	-0.283046198	0.481260683	0.406475013	-0.272884796	2.328768188
AIM2	-0.156918321	1.607428253	0.304680748	-0.170943087	-0.270410987	-0.189455816	1.093332169	0.173123586	-0.162076901	-0.123552761	-0.257780097	-0.237975475	-0.069705629	-0.218090077	0.948326629	-0.232198278	-0.220183106	0.085706513	-0.255163963	-0.268297367	-0.245093207	0.038434711
ALOX15	-0.289201153	-0.28856445	-0.290525171	-0.290231271	-0.286551944	-0.289294976	-0.292131535	-0.288816252	-0.284949396	-0.288271363	-0.281683252	-0.290230707	-0.290220427	-0.291552633	-0.292059187	-0.114024107	0.923790979	-0.281613948	-0.289659571	-0.289862618	-0.145482534	-0.281728631
ALOX5	0.459708013	0.721989423	-0.214581369	-0.261359452	-0.262932116	-0.239016957	-0.269570274	-0.279662075	-0.234406769	-0.109322997	-0.228531356	-0.24321194	0.534964537	0.03605708	-0.25942524	-0.190263239	-0.244684368	-0.263696733	-0.025700886	-0.046739623	0.317704562	0.927957078
AMPD1	-0.183822402	-0.203088587	0.967968458	-0.266628966	-0.265558696	-0.258579957	-0.265642718	-0.271720582	-0.261116538	-0.246542116	-0.269548035	-0.268904306	-0.253169124	-0.26225602	-0.268183324	-0.269207714	-0.256949015	-0.268918281	-0.270776432	-0.262718353	-0.244678102	-0.221517542
ANGPT4	-0.284639036	-0.285397232	-0.197675783	-0.275604744	-0.285084005	-0.275692532	-0.252598726	-0.251822944	-0.281981474	-0.28206799	-0.290396441	-0.283359268	-0.287238179	-0.277847173	-0.285436797	-0.289378757	-0.286829426	-0.289291188	-0.28032803	-0.281200289	-0.288120704	-0.279780313
ANKRD55	-0.175163055	-0.20260505	-0.245221976	-0.234957865	0.48218725	-0.111474584	-0.260902539	0.157055089	-0.242423075	-0.220483813	-0.259389885	-0.257263849	-0.241489914	-0.242540466	-0.254019105	-0.273983488	-0.249065397	-0.238367742	-0.230126659	-0.250626579	0.153269463	-0.120347711
APOBEC3G	0.243416327	0.181340794	0.558117982	0.581702548	-0.153278355	0.686373629	0.351228972	-0.132577345	0.11615829	1.97448296	2.351447784	3.432643759	0.068402796	-0.177528004	0.140154852	-0.186103605	-0.209085871	0.289465023	-0.031570105	-0.157238287	-0.16599005	-0.099734332
APOL3	-0.201049912	-0.072099594	0.021949231	0.212273574	0.1040371	0.382342464	0.174717925	-0.147210094	0.12191599	0.197252277	0.197010366	0.12584401	0.125001566	-0.194358526	4.318368	-0.11101083	-0.202318181	0.066608806	-0.183432497	-0.253176055	-0.249158405	-0.249736865
APOL6	-0.287073468	-0.289463891	-0.291045505	-0.290786842	-0.289314829	-0.290790859	-0.270228148	-0.291319528	-0.288726007	-0.290255062	-0.288940681	-0.139137327	-0.289374154	-0.288834191	0.111098987	-0.291065196	-0.290499183	-0.227484684	-0.284635788	-0.290893069	-0.291832974	-0.286336332
AQP9	-0.285384558	-0.287994067	-0.287763735	-0.288597028	-0.288380574	-0.288086439	-0.288831454	-0.286505796	-0.26740133	-0.215192546	-0.255164881	-0.289056956	0.562086777	1.626076982	1.51120932	-0.126954175	0.18023307	0.315249709	-0.052761413	0.491794726	-0.24035371	5.448107759
ARHGAP22	-0.279815133	-0.274084578	-0.284340995	-0.275466715	-0.264218537	-0.284844729	-0.287852423	-0.283680617	-0.280681486	-0.28909181	-0.259791163	-0.282847273	-0.271363247	-0.220813319	-0.14701604	-0.179949336	-0.160347119	0.956640462	-0.274740316	-0.272311206	-0.260121087	-0.285775236
ARRB1	-0.287651943	-0.287959054	-0.286369292	-0.286327897	-0.286486736	-0.283775076	-0.284667117	-0.286598717	-0.291018284	-0.287994203	-0.270278627	-0.236092791	-0.109875474	-0.154639806	0.102035853	-0.128595909	-0.27626551	-0.280640976	-0.275696327	-0.281216727	-0.283402193	-0.280605309
ASGR1	-0.277202961	-0.276520987	-0.276472772	-0.289219917	-0.289790807	-0.288765154	-0.29089302	-0.29218071	-0.286132934	-0.166623866	-0.289791787	-0.287938274	0.114895815	-0.248774304	-0.283753271	-0.229178752	-0.262410372	-0.280199315	-0.271275687	-0.266725967	-0.277402282	-0.262872715
ASGR2	-0.281648015	-0.280119742	-0.280117608	-0.281849427	-0.278878356	-0.27680394	-0.279887093	-0.28117801	-0.246885431	-0.224313157	-0.281944224	-0.281809886	0.327844983	-0.279193271	-0.283276634	0.024403516	-0.27389763	-0.284482312	-0.284276986	-0.285725245	-0.272882492	-0.273418501
