Gene symbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
ABCB4	-0.066473404	-0.302679819	-0.304204809	-0.305468059	-0.305340379	-0.304126521	-0.303850194	-0.304532407	-0.303941602	-0.303300466	-0.301406138	-0.305361681	-0.304648348	-0.303890337	-0.295392342	-0.254704218	-0.25764961	-0.305224946	-0.305287447	-0.292550792	-0.300822007	-0.300875597
ABCB9	-0.300573645	-0.297760141	-0.024136374	-0.296837394	-0.291875573	-0.29431289	-0.290668938	-0.299706241	-0.287366961	-0.298791301	-0.297860291	-0.300230108	-0.298533971	-0.282955403	-0.294602125	-0.28983032	-0.253594189	-0.297201095	-0.284162564	-0.29710091	-0.294426341	-0.292739123
ACAP1	-0.214016481	-0.167936261	-0.290598961	0.150198597	0.468546457	0.092352655	-0.159587343	0.172817132	0.557566819	-0.185943272	-0.085144101	-0.139346856	-0.224603862	-0.286110636	-0.293911507	-0.29734389	-0.280729883	-0.295888528	-0.262173131	-0.275432759	-0.005476975	-0.049000722
ACHE	-0.300784117	-0.300120578	-0.297747593	-0.301516468	-0.295552702	-0.299342102	-0.301510842	-0.300919524	-0.296651457	-0.292748094	-0.300118458	-0.301510842	-0.300239156	-0.30140175	0.287793894	-0.286278138	-0.300091701	-0.223615227	-0.301290872	-0.298450829	-0.289819629	-0.297469002
ACP5	-0.044722143	0.531439127	0.178151112	-0.174571436	0.015420367	-0.065560438	-0.199608818	0.00124421	0.108286988	-0.093235295	-0.159614773	-0.203626662	-0.085016467	5.606467126	0.153173029	3.001456383	5.684866657	1.42199355	-0.193128595	-0.167173311	0.065657927	-0.174211568
ADAM28	0.535141154	0.190293871	-0.166566715	-0.297502279	-0.289972722	-0.298133531	-0.300744384	-0.296812393	-0.274930672	-0.296773667	-0.223420437	-0.266418316	-0.282062833	-0.283512535	-0.188299281	-0.151006012	-0.29117332	-0.284269669	-0.247586699	-0.25667753	-0.070680843	-0.251560203
ADAMDEC1	-0.146519333	-0.169298196	-0.251871674	-0.28799863	-0.272244197	-0.286777557	-0.294094101	-0.277543584	-0.239414784	-0.20685564	-0.277743096	-0.286358979	-0.261262433	1.627611782	3.387236891	1.861970946	-0.235889435	0.466169857	0.009151039	0.373046299	-0.231412675	-0.22693273
ADAMTS3	-0.243971046	-0.261370368	-0.275115819	-0.288963391	-0.27299087	-0.282463884	-0.284185854	-0.291988452	-0.274274336	-0.279047548	-0.293711689	-0.285309891	-0.283585965	-0.287589383	-0.293319478	-0.292881166	-0.286229503	-0.288167387	-0.025527575	-0.131262616	-0.263674612	-0.253436491
ADRB2	-0.096540336	-0.086251763	-0.181729141	0.082598624	-0.273895804	-0.049354146	-0.245428958	-0.265218403	-0.213255022	0.723557588	0.541121004	0.715764144	-0.019155552	-0.245348355	0.034043749	-0.149921152	-0.231211753	-0.271400237	1.698876225	0.944356794	0.546100936	0.011522475
AIF1	-0.29690216	-0.298528582	-0.297814412	0.014622516	0.004133045	-0.292091967	-0.290212389	-0.299067846	-0.294608125	0.163785039	-0.261508094	-0.297293926	3.44430117	0.490726122	0.391019306	4.724920148	1.11676106	-0.295667072	0.494997416	0.417632716	-0.285155248	2.40621739
AIM2	-0.165189595	1.660001591	0.312328011	-0.179698014	-0.282596128	-0.198849166	1.128176577	0.176234017	-0.170526073	-0.130673402	-0.269529653	-0.249042057	-0.074969318	-0.228470899	0.978170428	-0.243065629	-0.230636107	0.08580231	-0.266823301	-0.280409619	-0.256405248	0.03690031
ALOX15	-0.302034285	-0.301375625	-0.303403963	-0.303099928	-0.299293716	-0.302131344	-0.305065723	-0.30163611	-0.297635903	-0.301072431	-0.294257124	-0.303099344	-0.303088709	-0.304466858	-0.30499088	-0.120816147	0.952788651	-0.29418543	-0.302508512	-0.302718561	-0.153359438	-0.294304068
ALOX5	0.472701489	0.74402784	-0.22484119	-0.273232445	-0.274859343	-0.250119454	-0.281726422	-0.292166245	-0.245350281	-0.115952916	-0.239272251	-0.254459105	0.550553282	0.034440685	-0.27123153	-0.199684434	-0.255982311	-0.275650329	-0.029447044	-0.051211315	0.325800959	0.95709842
ANGPT4	-0.29731484	-0.298099183	-0.207352605	-0.287968995	-0.297775154	-0.28805981	-0.2641696	-0.263367064	-0.29456563	-0.294655131	-0.303270793	-0.295990939	-0.300003616	-0.290288755	-0.298140112	-0.302218013	-0.299580767	-0.302127425	-0.292855166	-0.293757506	-0.300916575	-0.292288561
ANKRD55	-0.184063511	-0.21245186	-0.256538458	-0.245920382	0.495955937	-0.118178702	-0.272759775	0.159611387	-0.253643035	-0.230947183	-0.271194956	-0.268995603	-0.252677694	-0.253764474	-0.265638962	-0.286291829	-0.260514422	-0.249447851	-0.24092257	-0.262129442	0.155695211	-0.127357825
APOBEC3A	-0.262940747	-0.268501008	-0.2641696	-0.279443119	-0.260857532	-0.284478771	-0.282292068	-0.276399328	-0.291564126	0.006096041	-0.197545738	-0.250028764	0.739484339	-0.270391027	1.643595991	-0.242842491	-0.260563546	0.835741093	-0.276164021	-0.292879681	0.185683953	2.113085071
APOBEC3G	0.248950847	0.1847346	0.574505189	0.598903083	-0.161424103	0.707183813	0.36048148	-0.140009205	0.117304236	2.039714412	2.429679107	3.548160811	0.067901864	-0.186510017	0.142128334	-0.195381353	-0.219156176	0.296587562	-0.035518666	-0.165520596	-0.174574169	-0.10603358
APOL3	-0.210843092	-0.07744584	0.019846317	0.216734117	0.104765039	0.39266794	0.177883337	-0.155146574	0.123260494	0.2011948	0.200944547	0.127323974	0.126452478	-0.203920949	4.464429815	-0.117698955	-0.212155098	0.066046006	-0.19261813	-0.264766839	-0.260610637	-0.261209046
APOL6	-0.299833225	-0.302306083	-0.30394224	-0.303674657	-0.302151881	-0.303678813	-0.282406984	-0.304225714	-0.301542754	-0.303124539	-0.301764831	-0.146795413	-0.302213251	-0.301654668	0.11207046	-0.303962611	-0.303377078	-0.238189484	-0.29731148	-0.303784548	-0.304756866	-0.299070669
AQP9	-0.298086072	-0.300785571	-0.300547296	-0.301409326	-0.301185408	-0.300881129	-0.301651837	-0.299245976	-0.279482681	-0.225473444	-0.26682425	-0.301885115	0.57861085	1.679293432	1.560464486	-0.134192117	0.183588675	0.323261449	-0.05744077	0.505894733	-0.251502307	5.633129367
ARHGAP22	-0.292324582	-0.286396405	-0.297006521	-0.287826206	-0.276190127	-0.297527627	-0.300639043	-0.29632337	-0.293220811	-0.301921172	-0.271610073	-0.295461287	-0.283581228	-0.231288053	-0.154945828	-0.189014849	-0.168736637	0.98677097	-0.287074757	-0.284561878	-0.271951375	-0.298490223
ARRB1	-0.300431649	-0.300749352	-0.299104765	-0.299061942	-0.299226259	-0.296421086	-0.29734389	-0.299342102	-0.30391408	-0.300785713	-0.282459203	-0.247094447	-0.116524446	-0.162832505	0.102694778	-0.135890467	-0.288652548	-0.293178905	-0.288063736	-0.293774511	-0.296035344	-0.293142008
ASGR1	-0.289622328	-0.288916836	-0.288866957	-0.302053696	-0.302644274	-0.30158325	-0.303784497	-0.305116594	-0.298860256	-0.175229843	-0.302645288	-0.300727855	0.115998224	-0.26021329	-0.296398529	-0.239941973	-0.274319607	-0.292722013	-0.283490648	-0.278784028	-0.289828523	-0.274797894
ASGR2	-0.294220672	-0.292639696	-0.292637488	-0.29442903	-0.291355499	-0.289209546	-0.292399023	-0.293734458	-0.258259279	-0.234908586	-0.294527096	-0.294388125	0.336291079	-0.291681275	-0.295905455	0.02238524	-0.28620301	-0.297152712	-0.296940304	-0.298438508	-0.285152865	-0.285707358
ATHL1	-0.147851526	-0.075111977	0.031635433	0.042051795	2.00455893	0.037218216	-0.207136692	0.457907993	-0.198755725	-0.213289866	-0.060044026	-0.187239686	-0.227897136	-0.284686386	-0.234735637	-0.249849937	-0.293846798	-0.295911047	-0.275978245	-0.281118767	-0.164520229	0.230554376
ATP8B4	-0.253758165	-0.269712335	-0.271047427	-0.277086008	-0.281378852	-0.285225587	-0.273811573	-0.294744063	-0.281924191	-0.26118866	-0.041748536	0.141638014	-0.212266259	-0.261362422	-0.292881166	0.196853732	-0.029417455	-0.259938116	0.471990996	0.605055473	-0.139948051	-0.265858716
AZU1	-0.296030881	-0.291162848	-0.283712255	-0.2746152	-0.303003831	-0.287770946	-0.298536499	-0.302091377	-0.302217315	-0.293210973	-0.128917018	-0.255814503	-0.265508679	-0.284970958	-0.236296948	-0.170445043	-0.279741134	-0.281770894	-0.047277097	0.141085039	-0.257795409	-0.271634466
BACH2	1.618026067	0.228884831	-0.244088375	0.003249466	0.309719994	-0.112648803	-0.115554105	-0.201120869	-0.114596534	-0.048513282	-0.100113944	-0.085801561	-0.284750992	-0.281014152	-0.273384402	-0.282942828	-0.281823088	-0.271442385	-0.2731187	-0.277733355	-0.225880065	-0.249792318
BANK1	3.001456383	3.670413287	-0.260190316	-0.295595625	-0.290188231	-0.291944377	-0.305199947	-0.299104765	-0.292831824	-0.283168853	-0.293031395	-0.291215306	-0.269807125	-0.304296538	-0.300393023	-0.294683715	-0.285999175	-0.298923215	-0.272742214	-0.267227281	0.123073656	-0.290352671
BARX2	-0.300290758	-0.29753029	-0.300821431	-0.300973618	-0.30131247	-0.30261262	-0.29957742	-0.298779273	-0.133924492	-0.249002588	-0.299090919	-0.296023318	-0.299467233	-0.299906883	-0.300589882	-0.295169071	-0.29751942	-0.297905531	-0.2864555	-0.2959235	-0.278898264	-0.280655333
BCL11B	-0.235135243	-0.249381104	-0.242399664	1.506024338	2.803495653	1.843753044	0.05770484	1.073806428	0.883780751	0.811648213	0.047301019	-0.085300378	-0.2691832	-0.27352547	-0.277846492	-0.285197677	-0.26580615	-0.274196397	-0.283990036	-0.284729718	-0.174278653	-0.235000252
BCL2A1	-0.258514308	-0.171231153	-0.274225513	-0.058098762	-0.111029634	0.020275574	0.215600012	-0.004519703	-0.233192918	-0.12010549	-0.073301742	-0.079101833	0.672819753	2.10273572	2.743381503	-0.222401697	-0.248566752	2.098747333	0.069378389	1.119182641	5.439058721	3.502663491
BCL7A	0.168272193	-0.117531015	-0.219866493	-0.255642271	-0.25611219	-0.273303022	-0.284686999	-0.276763292	-0.228199411	-0.284021168	-0.293682874	-0.281231629	-0.28421903	-0.283152132	-0.250403906	-0.226832347	-0.185403222	-0.215534011	-0.239584507	-0.224754908	-0.27277246	-0.254767536
BFSP1	-0.303602471	-0.302095432	-0.303073954	-0.2988139	-0.250824755	-0.303474676	-0.302096736	-0.281622623	-0.301037816	-0.25905754	-0.292333709	-0.298905742	-0.298070576	-0.300539612	-0.291320969	-0.293985972	-0.298929734	-0.302048595	-0.292590125	-0.285801708	-0.301607629	-0.299064015
BHLHE41	-0.20882486	-0.142957943	0.117905078	-0.287715109	-0.299675227	-0.295761525	-0.278654035	-0.2977047	-0.257701041	-0.268921775	-0.285000186	-0.284977706	-0.28876598	2.057174261	-0.244979839	-0.166415461	-0.165121341	-0.068060278	-0.195793901	-0.197894702	-0.283864034	-0.273668037
BIRC3	0.456508334	0.157404746	-0.149647467	-0.146563919	-0.013479014	0.178722949	0.944718035	-0.132853811	0.754295909	-0.203779421	-0.184377948	0.201495755	-0.238008372	-0.207316048	0.547004084	-0.204396125	-0.11544398	4.266907413	-0.276452085	0.538529597	0.378450575	-0.249753579
BLK	0.467821591	1.116151949	-0.289115494	-0.2482195	-0.277863644	-0.299029877	-0.302819797	-0.268390335	-0.303184406	-0.298358263	-0.30297784	-0.302023891	-0.292541939	-0.300608081	-0.302213333	-0.301088074	-0.300711371	-0.300079345	-0.302760986	-0.303797759	-0.290562856	-0.303061514
BMP2K	-0.184975072	-0.213527675	-0.261890129	-0.25629362	-0.259959207	-0.289102756	-0.243761996	-0.210112755	-0.273823408	-0.255837426	-0.260941152	-0.256538458	-0.155379756	-0.167083977	-0.023252349	0.113872884	-0.121968703	-0.038409421	0.916143871	0.764518481	0.08285422	-0.052087688
BRAF	0.807362206	0.114960594	-0.094058778	-0.229885614	-0.263548613	-0.239915932	-0.230033328	-0.263072141	-0.050172142	-0.116181581	-0.177862501	-0.195867022	-0.192530319	-0.171702733	-0.147066756	-0.224547634	-0.207606462	-0.151274151	-0.240813462	-0.176508329	0.093813206	0.005288208
BRSK2	-0.302809146	-0.305404957	-0.292460297	-0.302802061	-0.303902124	-0.300319277	-0.289781163	-0.2836148	-0.300937426	-0.280630384	-0.299417793	-0.299872967	-0.302240143	-0.303068027	-0.302774331	-0.303484962	-0.304086599	-0.294849581	-0.287296605	-0.300626355	-0.3037599	-0.302195469
BST1	-0.279069032	-0.278042013	-0.292700368	-0.277492567	-0.251263598	-0.277993465	-0.276206306	-0.280337687	-0.288134272	-0.16757225	-0.241710888	-0.270002243	0.371944452	-0.138065063	-0.275363238	-0.216548206	-0.240468154	-0.257933207	-0.122045117	-0.114820835	-0.302932582	0.451267376
BTNL8	-0.300738861	-0.301586126	-0.303058501	-0.301487348	-0.297293926	-0.299765074	-0.298140112	-0.30012303	-0.292103293	-0.288228187	-0.30233113	-0.301391427	-0.298620754	-0.29618738	-0.299257799	-0.302694549	-0.300209083	-0.299109146	-0.301645754	-0.300106016	-0.264174517	0.153219093
C11orf80	-0.076816877	-0.136663996	0.643049894	-0.236867454	-0.267684107	-0.238631472	-0.247094447	-0.247973216	-0.267446024	-0.24260525	-0.263781223	-0.246218917	-0.270203635	-0.264282134	-0.292388225	-0.269047186	-0.262361838	-0.245847843	-0.243361278	-0.245399386	-0.239258021	-0.263274651
C1orf54	-0.28925796	-0.288131615	-0.258316966	-0.201566779	-0.18053144	-0.18239403	-0.2597282	-0.269542227	-0.285093995	-0.252862361	-0.23683515	-0.275649061	-0.136121578	0.307268645	0.194469077	0.575334518	1.761816406	0.184566501	-0.187156877	-0.175048951	-0.124191059	-0.285964493
C3AR1	-0.250514122	-0.264997872	-0.205102055	-0.212819747	-0.263745435	-0.22136859	-0.260055628	-0.259487315	-0.08139097	-0.017918254	0.019347869	-0.10224965	0.272319815	0.039253906	1.53385426	0.88652971	0.073687004	-0.194957815	1.6810468	1.801447143	3.783075239	0.016021952
C5AR1	-0.267291023	-0.279214127	-0.296338522	-0.276433894	-0.290356691	-0.296685476	-0.297021101	-0.295477673	-0.288996406	-0.124254341	-0.162061627	-0.233237633	1.529352735	1.855482266	-0.193429469	0.525139921	0.211026518	0.078398385	-0.074632641	0.02072738	0.840270201	5.14833186
C5AR2	-0.303855364	-0.300112525	-0.300789324	-0.304947359	-0.285506216	-0.30438138	-0.300251941	-0.303790216	-0.287141686	-0.298131026	-0.291969423	-0.294821785	-0.282698872	-0.289329481	-0.300100204	-0.281741024	-0.296668264	-0.299167536	-0.305789081	-0.28962254	-0.183368758	-0.141214069
CASP5	-0.300302644	-0.296322718	-0.304090707	-0.298355171	-0.302298863	-0.303403963	-0.304111397	-0.287974236	-0.256256601	-0.301361475	-0.292096441	-0.282565578	-0.255248463	-0.28548573	-0.082786755	-0.293583762	-0.298048024	-0.284571842	-0.303379739	-0.276835604	-0.281678764	-0.097770882
CCL13	-0.22266567	-0.233033539	-0.263404296	-0.254914011	-0.289280076	-0.25601723	-0.278710425	-0.301829059	-0.274607782	-0.275983332	-0.26615189	-0.265438496	-0.269590214	-0.23498327	-0.228329249	2.545258586	1.303943623	2.082509552	-0.263548541	-0.014393951	-0.254467969	-0.261689393
CCL14	-0.276989111	-0.281799325	-0.240782381	-0.276535178	-0.293808943	-0.267560938	-0.273698542	-0.29299539	-0.24143714	-0.241026818	-0.278060798	-0.275698474	-0.261796025	-0.235378619	0.227158119	0.758511303	-0.184670701	-0.232494899	-0.2647298	-0.242615665	-0.255755676	-0.199707959
CCL17	-0.289038919	-0.281766073	-0.271732005	-0.273310531	-0.298891915	-0.294201677	-0.23350682	-0.290851704	-0.13659686	-0.281429843	-0.274824283	-0.290531836	-0.277967217	-0.257560547	-0.283319618	-0.038517116	0.794188895	2.47308105	-0.295799893	-0.287419818	-0.267491991	-0.292476131
CCL18	-0.298694624	-0.297936381	-0.282800535	-0.29202896	-0.296782128	-0.301777607	-0.272141099	-0.293780414	-0.298421773	-0.259878358	-0.290372901	-0.272873235	-0.289704153	0.914946122	0.23554742	5.038759067	0.428611069	0.451074419	-0.123947609	0.096093056	-0.286610277	-0.28586941
CCL19	-0.273303022	-0.24676721	-0.195467495	-0.273692515	-0.291355499	-0.280928098	-0.268424005	-0.286104825	-0.292169486	-0.298157296	-0.259692615	-0.243856403	-0.257252671	-0.257766613	13.80251623	-0.247924526	-0.233286307	1.014137843	-0.290845236	-0.299035445	-0.241107919	-0.256511034
CCL20	-0.290212389	-0.295637338	-0.301391427	-0.280662896	-0.301666549	-0.294593245	0.369742301	-0.225558936	-0.301975482	-0.299478456	-0.299346329	-0.298530177	-0.299166041	-0.302434395	0.006733665	-0.301786621	-0.301042906	0.347046835	-0.301283717	2.065019935	-0.293844453	-0.297608486
CCL22	-0.287368002	-0.293759451	-0.298734179	-0.296919064	-0.290246703	-0.295253285	-0.295126818	-0.296790003	-0.064535538	-0.297358138	-0.295670143	-0.273977462	-0.29298263	0.821519132	-0.105803122	0.07417	1.479735613	13.10748695	-0.296707623	-0.257959873	-0.266368169	-0.28136259
CCL23	-0.298779273	-0.300144985	-0.284185854	-0.300697247	-0.298798914	-0.295349337	-0.304748448	-0.301510842	-0.276710507	-0.297371702	-0.279330263	-0.288316838	-0.290872338	-0.201371829	-0.040527899	2.078796658	-0.167866921	-0.143699354	-0.020102669	-0.071058626	-0.075798725	-0.281898796
