Gene symbol	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
ABCB4	-0.054181626	-0.297593992	-0.299165505	-0.300467293	-0.300335718	-0.299084829	-0.298800072	-0.299503097	-0.298894269	-0.298233573	-0.296281455	-0.30035767	-0.299622575	-0.298841439	-0.290084196	-0.248154799	-0.251190046	-0.300216764	-0.300281171	-0.287155959	-0.295679504	-0.295734729
ABCB9	-0.295423565	-0.292524229	-0.01055302	-0.291573333	-0.286460141	-0.288971813	-0.285216695	-0.2945297	-0.281813985	-0.293586847	-0.292627435	-0.295069548	-0.293321667	-0.277267843	-0.289269872	-0.284352493	-0.247010907	-0.291948128	-0.278511831	-0.291844888	-0.289088725	-0.287350035
ACAP1	-0.206225801	-0.158739811	-0.285144583	0.16910039	0.497160092	0.109489742	-0.150136192	0.192408948	0.588896198	-0.177296162	-0.07342191	-0.129278229	-0.217136171	-0.280519333	-0.288558185	-0.29209528	-0.274974429	-0.290595519	-0.255851566	-0.269515706	0.008675622	-0.036175904
ACHE	-0.295640458	-0.294956677	-0.292511299	-0.29639515	-0.290249448	-0.294154452	-0.296389353	-0.295779996	-0.291381723	-0.28735928	-0.294954492	-0.296389353	-0.295078872	-0.296276933	0.310893308	-0.280691945	-0.294926918	-0.216117376	-0.296162672	-0.293235989	-0.284341476	-0.292224209
ACP5	-0.031766799	0.561971428	0.197905653	-0.165577405	0.03021048	-0.053240808	-0.191378603	0.01560185	0.125910183	-0.081759942	-0.15016446	-0.195519019	-0.073290382	5.791823356	0.172165563	3.107341525	5.872614621	1.479694004	-0.184700688	-0.157953586	0.081980637	-0.165206559
ADAM28	0.565786393	0.210418851	-0.157328485	-0.292258501	-0.28449924	-0.292909011	-0.295599513	-0.291547568	-0.268998302	-0.291507662	-0.215916643	-0.260226259	-0.276348043	-0.277841972	-0.179724046	-0.141293071	-0.285736464	-0.278622203	-0.240820146	-0.250188311	-0.058517421	-0.244914869
ADAMDEC1	-0.136669516	-0.160143295	-0.245235843	-0.282464924	-0.26622987	-0.2812066	-0.28874635	-0.271690926	-0.232398931	-0.198846504	-0.271896524	-0.280775253	-0.254913086	1.691585033	3.504891042	1.933093795	-0.228766033	0.494710989	0.023749893	0.398746509	-0.224152701	-0.219536086
ADAMTS3	-0.23709419	-0.255024313	-0.269189097	-0.283459117	-0.266999322	-0.27676133	-0.278535831	-0.286576463	-0.268321942	-0.273240771	-0.288352271	-0.27969416	-0.277917642	-0.282043192	-0.287948095	-0.287496412	-0.280641826	-0.28263883	-0.011986662	-0.120947363	-0.257398853	-0.246848398
ADRB2	-0.08516581	-0.074563364	-0.172953471	0.099438144	-0.267931863	-0.036540111	-0.238596579	-0.25898974	-0.205441112	0.75995085	0.57194867	0.75191965	-0.005420248	-0.238513516	0.049402005	-0.140175115	-0.223945649	-0.265360164	1.765023541	0.987485979	0.577080525	0.026193675
AIF1	-0.291640074	-0.293316114	-0.292580156	0.029388289	0.018578815	-0.286683137	-0.284746218	-0.293871828	-0.289276055	0.183101314	-0.255166241	-0.292043791	3.563696182	0.520016392	0.417267819	4.883383015	1.165149784	-0.290367308	0.52441799	0.444693124	-0.279534799	2.49394357
AIM2	-0.155909353	1.724962958	0.336175887	-0.17086038	-0.276897608	-0.190595777	1.176913553	0.195930072	-0.16140863	-0.120340174	-0.263432514	-0.242319903	-0.062936725	-0.221121179	1.022331166	-0.236161152	-0.223352442	0.102739565	-0.260643599	-0.274644395	-0.249907722	0.052345711
ALOX15	-0.296928765	-0.296250011	-0.298340227	-0.298026917	-0.29410459	-0.297028785	-0.300052683	-0.296518443	-0.292396201	-0.295937567	-0.288914346	-0.298026316	-0.298015356	-0.299435548	-0.299975557	-0.110182203	0.996175066	-0.288840465	-0.297417459	-0.297633916	-0.143718293	-0.288962722
ALOX5	0.501441881	0.781045587	-0.21738074	-0.267248267	-0.268924797	-0.243430168	-0.27600137	-0.286759681	-0.238515502	-0.10517061	-0.232252049	-0.247902208	0.5816687	0.04981105	-0.26518631	-0.191456526	-0.249471882	-0.269739913	-0.016025702	-0.038453936	0.350059855	1.000616314
AMPD1	-0.184590306	-0.20512892	1.043270233	-0.272865805	-0.271724848	-0.2642852	-0.27181442	-0.278293695	-0.26698931	-0.251452325	-0.275977663	-0.275291419	-0.258517011	-0.268204049	-0.27452282	-0.275614865	-0.262546544	-0.275306316	-0.277287188	-0.268696916	-0.249465202	-0.22477501
ANGPT4	-0.292065344	-0.292873615	-0.199358629	-0.282434385	-0.292539701	-0.282527971	-0.257908942	-0.257081923	-0.289232264	-0.289324494	-0.298202995	-0.290701054	-0.294836146	-0.284824914	-0.292915792	-0.297118098	-0.294400398	-0.297024746	-0.287469619	-0.288399486	-0.295776957	-0.286885728
ANKRD55	-0.175359055	-0.204613448	-0.250044996	-0.239102995	0.525405753	-0.107464298	-0.266761177	0.178800336	-0.247061242	-0.223673008	-0.265148621	-0.262882171	-0.246066452	-0.247186386	-0.259423129	-0.280706054	-0.254142255	-0.242738076	-0.233952714	-0.255806544	0.17476469	-0.116923448
