GSM1570045	GSM1570046	GSM1570047	GSM1570048	GSM1570049	GSM1570050	GSM1570051	GSM1570052	GSM1570053	GSM1570054
ABCB4	10.17321257	12.60543568	12.66056217	11.57599046	10.62745457	11.95955965	13.78049503	10.90968522	10.7699929	11.33368555
ABCB9	14.95406613	15.40431035	15.56888417	15.04695531	15.27494404	14.76199464	15.2380784	15.00221837	15.38344376	15.16342151
ACAP1	23.40773955	22.71670964	22.3605569	24.02688651	22.81231324	23.61109624	22.81858497	22.88581938	23.9283036	22.15232188
ACHE	15.97325465	16.05706317	15.72512173	16.01623334	15.83551047	16.00991773	16.09695098	15.89867797	15.90373008	15.88009883
ACP5	6.874470412	7.165028631	6.829094629	6.693115727	6.614369627	6.711699367	6.835363809	6.233005404	6.850265022	7.072688158
ADAM28	25.44847352	31.99630485	30.94028794	26.70044956	25.75377975	30.08507209	31.81480949	24.9271228	24.19545618	27.43477328
ADAMDEC1	3.194939597	3.196898953	3.195301364	3.099040163	3.416029025	3.408739258	3.438088074	3.286632234	3.399899996	3.480744313
ADAMTS3	3.772303496	3.829455875	4.050782671	3.701819432	3.79143382	3.836750338	3.803889293	3.849288043	3.856533773	3.830902968
ADRB2	9.72329839	9.03486729	8.665325454	7.942879861	8.368306594	9.585647167	7.895221239	8.743402119	8.487389468	8.791018589
AIF1	38.71675979	37.24234121	40.10667306	37.35538772	40.99565843	35.99206172	38.67420096	40.07271826	38.5252076	40.73727257
AIM2	8.230920012	9.732380303	9.543831819	8.713475567	8.592124155	9.016684919	10.0177375	8.45450176	8.268690741	8.72636374
ALOX15	4.974466834	5.083115816	5.078390309	5.033439212	4.96500561	4.998306672	5.05798328	5.203068592	4.918845315	5.029996847
ALOX5	31.82110201	32.26651741	35.59380653	32.39471312	33.90321327	31.74013775	34.39434335	35.05466584	30.29612543	34.65421813
AMPD1	4.62418014	4.730109432	4.35788738	4.753929975	4.630760211	4.541179459	4.597757012	4.797038101	4.621641289	4.648668141
ANGPT4	5.508884854	5.58562552	5.271943671	5.464585425	5.429888168	5.493001499	5.525186244	5.347300371	5.510031221	5.539070776
ANKRD55	5.940545935	5.579167705	5.949432456	8.128953656	6.809322173	6.125530636	6.939073846	7.394634078	7.895297873	5.834726731
APOBEC3G	17.67416912	17.28164828	16.48885536	15.8278104	15.86394825	17.40880197	16.00714528	15.968052	16.27860863	16.84469068
APOL3	10.20901459	9.742074915	9.146596464	10.22267985	10.1991828	9.802711646	9.331649895	9.565065591	10.19671813	10.04907824
APOL6	37.3377038	33.85859954	31.45878354	33.6633844	33.50867525	37.15501234	31.31409132	33.06201919	34.38610017	35.20505754
AQP9	8.623119356	8.6083063	11.04419206	10.21381763	9.733248298	9.81022742	10.53617367	10.92617741	8.12339057	9.383779625
ARHGAP22	10.23974784	10.82742246	10.53928835	10.21691024	10.58868821	10.57991206	10.8106595	10.82252016	10.10274083	10.66240686
ARRB1	64.08353447	58.69409424	57.96372161	54.91434374	60.60315181	61.23511961	53.4205066	56.27188834	58.27786279	63.13457959
ASGR1	7.847179407	7.279282415	6.61096514	6.18375836	8.194615409	6.306490443	7.143294144	7.063695708	7.712943616	8.590067867
ASGR2	8.505440874	8.031818812	7.488710284	7.250258651	9.107780502	7.187371353	7.631979683	8.200021633	8.44842246	9.378133003
ATHL1	9.659043342	9.449351815	10.07335914	10.73602983	9.846593943	9.57042223	10.05513988	10.50325647	10.21166732	8.976089567
ATP8B4	7.02326555	5.75908531	5.563887083	4.478002518	5.525186244	7.013946196	4.436136126	5.72626372	4.758689704	6.303569658
ATXN8OS	3.092106362	3.191308126	3.194557168	3.195103928	3.219688621	3.268041584	3.21513609	3.095615349	3.131551416	3.204586941
AZU1	4.578192942	4.753136752	4.331466104	4.235010546	4.519360147	4.443989518	4.427944089	4.546031544	4.387247209	4.540622883
BACH2	13.72387521	15.53517608	14.52481333	15.33682924	14.38619096	14.88187309	15.34547328	14.17755297	15.0281539	13.65905756
BANK1	22.12145749	31.08498072	28.70196045	26.0479505	24.06316936	28.80018786	30.93335947	22.55909557	24.13038899	26.65256769
BARX2	5.697904224	5.844596692	5.390743012	5.785636985	5.7908046	5.695744359	5.778655556	5.405318807	5.830543615	5.518001101
BCL11B	25.85438783	23.90826785	21.37672963	28.19662152	26.25052034	24.93775526	24.33206828	25.58920169	28.83201167	21.92381145
BCL2A1	10.93724817	10.68022831	12.74047492	12.34046927	11.88771475	11.76953639	12.39169113	12.68371345	10.70208216	11.43010556
BCL7A	13.30029171	16.06222655	14.95961018	14.27055912	14.44403312	14.76218615	15.30570081	14.07725241	13.9043214	14.88669151
BEND5	12.20207058	13.10852173	12.9455602	12.49678556	12.50332544	12.74132068	13.39834667	12.28466294	11.69660773	12.02569903
BFSP1	7.494253809	7.597161617	7.178698981	6.560942575	6.697853835	7.619884072	6.694110064	6.752347792	6.905807836	7.100908152
BHLHE41	19.31752283	23.05277812	20.8263183	20.2303789	18.78850281	20.61751764	22.39876387	19.63677474	19.93769081	20.3823783
BIRC3	16.63270541	19.4788001	18.67097769	18.96594029	17.35481909	18.25534203	19.57083442	17.37991952	17.57459855	17.08605738
BLK	12.07314624	14.38851005	12.84420998	12.25649308	11.86402952	13.6896223	14.03823153	11.61186571	11.93229558	12.82965335
BMP2K	44.19598453	46.64882096	50.29595978	44.29333744	47.1615131	44.16077954	47.39982815	48.30979565	43.74441113	47.10614908
BRAF	24.39880553	24.27248236	26.35266238	25.62456946	24.06262573	24.70146186	25.91220895	25.72259308	24.28585485	24.31624167
BRSK2	11.84365638	12.82187203	12.02014972	11.82179713	11.98373936	12.17051961	11.95349664	11.60850133	12.03623021	12.40805985
