17-002	17-006	17-019	17-023	17-026	17-027	17-030	17-034	17-040	17-041	17-042	17-043	17-045	17-047	17-054	17-055	17-057	17-058	17-060	17-061
ABCB4	23.36605276	31.58182715	29.56960172	27.0180701	20.42159162	29.26764501	22.47570839	21.81639632	25.1203729	20.92942702	18.71738342	21.43485072	31.43499882	25.58034458	22.81766912	27.33291615	30.27108084	19.61851692	26.37785986	27.41830903
ABCB9	21.44971099	30.18745244	26.83594798	29.56960172	21.60976513	25.27341386	34.63056428	30.5539745	29.56960172	27.56222583	27.56222583	24.82583434	30.27108084	33.78997147	28.52685377	28.0985398	25.44850015	26.18138064	27.06995201	26.72431816
ACAP1	112.4631816	147.8997367	181.7463192	117.8429801	134.9314536	205.4505795	127.0571797	103.2440143	117.8429801	166.8175085	68.44958241	111.2049552	227.7748045	134.9314536	152.3022735	91.12030708	181.7463192	205.4505795	92.42615763	147.8997367
ACHE	21.64357037	22.86974486	23.98259229	24.47819217	20.42159162	21.16938957	20.34415931	19.84367941	19.51710364	21.77884416	27.20096962	21.32379662	26.23655117	22.53050958	25.02045779	20.88247011	24.82583434	24.51298916	22.03670746	21.15103837
ACP5	22.17464397	58.37237941	34.18582306	24.96384431	29.00838664	37.73007842	37.08547951	24.87717645	48.36136103	23.14378256	28.0985398	28.47311384	36.70254299	27.24334254	26.89102725	30.5539745	22.65574534	20.01633368	21.36835172	37.23785178
ADAM28	20.83531284	26.07719278	37.73007842	20.98364891	35.36317772	28.0985398	22.35559883	34.88022956	39.46242007	28.78655755	23.36605276	25.67927309	35.03006957	32.14578195	32.77695141	23.59013999	21.32379662	20.81389364	22.4293137	29.81629677
ADAMDEC1	21.81639632	20.88247011	20.31252063	24.15357021	20.07512311	24.73972767	20.49961165	19.5137029	23.6353111	27.28571547	28.52685377	22.14392746	22.74267517	19.5137029	22.48349424	20.55650975	22.45251105	22.76223689	26.37785986	20.94023629
ADAMTS3	17.91356011	21.31265811	21.43485072	22.2438928	20.21806734	20.64194169	19.9262472	25.27341386	20.55650975	19.77530921	24.51298916	19.43295146	19.43295146	25.58034458	20.82460324	18.92882065	19.61511619	21.97955271	22.4293137	20.94023629
ADRB2	84.73101914	80.01534983	77.32834949	147.8997367	89.65232372	71.28705288	81.24932333	100.9459517	187.2846429	115.8014261	321.9652184	129.0675482	106.767274	104.7256097	96.25623472	107.6054455	62.2467982	96.25623472	56.49603819	72.79158166
AIF1	1146.574581	554.8443056	738.6702073	1047.146957	782.8397534	578.1073477	846.985067	782.8397534	887.5687504	887.5687504	1771.08155	827.4369411	738.6702073	562.7175385	782.8397534	1007.586754	483.0080279	601.3244944	653.571448	887.5687504
AIM2	31.36486298	32.6758164	51.3012249	27.20096962	35.94019788	31.26761827	55.84081535	25.74182002	22.08251865	33.54838083	22.6872705	36.89401125	34.03663485	29.26764501	29.61512663	26.30999907	29.08876128	56.49603819	39.46242007	34.30482391
ALOX15	21.99868303	27.33291615	18.80820765	44.07762204	23.66006087	30.27108084	23.06397634	26.12639591	23.84537038	21.90353156	23.61056133	20.82460324	22.92146602	22.29767303	29.08876128	19.05367108	21.52763235	24.20385254	27.33291615	20.70260516
ALOX5	376.9565295	213.4398786	436.866181	483.0080279	510.2398461	397.3967152	494.5848068	521.6031615	515.9215038	321.9652184	472.6705549	385.7400263	409.1457852	208.7475431	314.3762424	510.2398461	241.7314779	227.7748045	222.8711236	416.9763655
AMPD1	19.32916343	19.22243801	18.18182412	20.0785953	18.29522074	19.23904607	18.9911432	19.31577044	20.12035856	18.39667042	20.69906001	18.12523343	18.55638266	19.0701641	19.24896946	18.75634992	19.90570053	19.40602665	18.6979454	18.87338508
ANGPT4	18.91901119	20.40403677	18.18182412	19.56103213	19.38601882	17.91356011	18.91248662	18.65933789	18.21324787	18.39667042	17.91356011	18.12523343	18.42214285	19.0701641	18.35850569	18.21324787	17.79036422	19.22243801	19.05367108	19.01076181
ANKRD55	18.91901119	18.82118902	24.82583434	21.15103837	21.32379662	24.47819217	21.50910137	24.08676699	19.68657961	37.82696106	21.18407061	31.50513465	36.05996168	34.52719453	20.3688781	26.15388828	20.76364213	26.55668145	18.49869301	25.49251774
APOBEC3A	51.3012249	40.5945275	20.12725498	20.28110083	49.40646978	30.91837353	42.45093188	21.15103837	44.5965602	22.74267517	37.63319577	31.50513465	22.61637905	40.32283462	26.89102725	36.4891781	20.97276445	24.51298916	30.35470924	27.81179353
APOBEC3G	110.2968338	99.86081449	86.73848307	58.37237941	51.61065901	65.37523559	83.28761999	65.69145157	85.69876929	72.79158166	57.24401545	99.86081449	96.25623472	113.5017749	68.86018681	53.03799087	114.5403683	91.77323236	103.2440143	111.2049552
APOL3	98.18993514	127.0571797	159.9171477	73.18107089	105.5292757	147.8997367	111.2049552	115.1708972	83.28761999	95.59505153	80.65900273	95.59505153	115.8014261	95.59505153	130.7788705	115.1708972	161.3104264	155.9244613	133.9405136	108.443617
APOL6	20.3794406	27.0180701	19.15612099	19.9262472	20.42159162	23.09987689	21.1473682	24.23302209	25.52312233	21.23545441	21.52763235	27.69175931	21.66613302	21.35349163	22.1055574	27.33291615	23.66006087	20.3794406	19.62871913	26.02798965
AQP9	321.9652184	502.4123265	32.27994915	159.9171477	142.7197776	49.69514706	73.57056012	103.2440143	152.3022735	51.61065901	129.0675482	130.7788705	60.50803188	61.43594166	140.4932187	281.702636	143.8951214	132.9495737	288.5702362	462.3330819
ARHGAP22	18.46665312	19.4093574	19.07677958	22.4293137	19.67292936	18.98131121	18.9911432	27.33291615	19.34255641	19.43632871	19.34588716	19.43295146	21.97955271	18.49869301	18.62379071	19.4093574	18.30156674	21.32379662	21.80507608	19.41946581
ARRB1	29.26764501	35.67282356	45.42290534	43.04218036	59.44752773	40.18373724	50.44877859	41.14503281	59.44752773	48.6113916	41.74168755	42.66599535	40.72712301	32.14578195	39.46242007	63.27194683	34.75539692	40.72712301	32.34036906	40.02201005
ASGR1	154.3358673	44.5965602	95.59505153	273.8022558	122.7101068	166.8175085	218.4470123	181.7463192	106.767274	143.8951214	241.7314779	142.7197776	83.28761999	89.65232372	80.33717628	177.3397759	58.87862086	55.50930599	62.2467982	124.8360913
ASGR2	56.17232471	37.63319577	43.2033019	76.94314022	34.88022956	26.47360073	54.10245073	50.87500175	60.83221225	55.84081535	124.8360913	58.87862086	36.05996168	37.73007842	44.5965602	72.79158166	27.69175931	21.05999044	23.80788245	51.3012249
