state,Caldatribacterium sp.,Magnetobacteriaceae sp.,Vibrio galatheae,Acidaminococcaceae sp.,Marithrix sp.,Planctopirus sp.,Rhizobiaceae sp.,Desulfobulbaceae sp.,Tetrasphaera japonica,Nocardia farcinica
normal,0.000158,0.001846,0.00141,0.0000859,0.001697,0.0001263,0.0005839,0.0007701,0.0001932,0.0001178
normal,0.0006847,0.002949,0.001539,0.000628,0.003713,0.0006303,0.0004917,0.004485,0.001046,0.001234
normal,0.0000924,0.001629,0.001346,0.0000572,0.0009513,0.0000836,0.0002545,0.0002931,0.0000876,0.0000717
normal,0.000266,0.001982,0.001389,0.0003855,0.001852,0.0003402,0.0005888,0.002847,0.0004983,0.0006787
normal,0.0001547,0.003087,0.001935,0.0000843,0.001508,0.0001031,0.0005516,0.0007426,0.0002415,0.0001121
normal,0.0001954,0.002802,0.001648,0.0001061,0.001693,0.0001151,0.009168,0.000894,0.0001552,0.0001357
normal,0.0004581,0.002967,0.002432,0.0005279,0.002818,0.0006279,0.0008726,0.004199,0.000981,0.0009702
normal,0.0001679,0.002494,0.002392,0.0001175,0.00104,0.000104,0.000622,0.0009352,0.000217,0.0001474
normal,0.0001626,0.002256,0.00175,0.0001914,0.001109,0.0002329,0.0005056,0.001517,0.0003022,0.0004103
normal,0.0000563,0.001156,0.000675,0.000068,0.001361,0.0000951,0.0008788,0.0006336,0.0000935,0.0001337
normal,0.0001841,0.004632,0.002311,0.000125,0.001713,0.0001156,0.0007735,0.000763,0.0002114,0.0001395
normal,0.0001762,0.00372,0.001939,0.0001403,0.002371,0.0001006,0.000371,0.0006664,0.0001744,0.0001289
normal,0.000168,0.002025,0.0009068,0.0000507,0.001568,0.0000929,0.0003911,0.0007437,0.0001896,0.0001455
normal,0.0002508,0.002548,0.001384,0.0003258,0.002374,0.0002787,0.00128,0.001951,0.000466,0.0006517
normal,0.0001171,0.001445,0.001142,0.0000819,0.001698,0.0000669,0.0000829,0.0006165,0.0001134,0.0001318
normal,0.0001155,0.001886,0.001434,0.0000701,0.001179,0.0000863,0.0004733,0.0006129,0.0001772,0.0001335
normal,0.0001396,0.003019,0.001328,0.0000754,0.001971,0.0001208,0.0003715,0.0008934,0.0001564,0.0001501
normal,0.0000766,0.002362,0.001462,0.000144,0.002208,0.0000865,0.0009275,0.0009959,0.0001656,0.0001563
normal,0.0001378,0.001393,0.0009666,0.0001077,0.001659,0.0001056,0.0002684,0.0008607,0.0002581,0.0001882
normal,0.0001296,0.001666,0.001237,0.0001076,0.001311,0.0001407,0.0002329,0.0008697,0.0002034,0.0002096
normal,0.0001868,0.003201,0.001504,0.0000911,0.001593,0.0001008,0.001003,0.0008095,0.0003839,0.0001471
normal,0.0003081,0.003089,0.002147,0.0003396,0.001398,0.0003183,0.0008272,0.002144,0.0004423,0.0004738
normal,0.000048,0.0007497,0.0005667,0.0000346,0.001182,0.0000658,0.0005821,0.0004218,0.0000724,0.000065
normal,0.0002072,0.003232,0.00197,0.0001776,0.004062,0.0001403,0.0004861,0.0009061,0.0001966,0.0002736
normal,0.0002421,0.001631,0.001277,0.0002408,0.001077,0.000347,0.0003692,0.002212,0.0005373,0.0005926
normal,0.0001222,0.001717,0.001588,0.0001112,0.001063,0.0000971,0.0007761,0.0007326,0.000182,0.0001108
normal,0.0001062,0.001394,0.001139,0.0000649,0.001501,0.0000918,0.0006325,0.0006416,0.0001227,0.0001104
normal,0.0001661,0.002364,0.00206,0.0001716,0.002065,0.0001427,0.002084,0.001206,0.0002044,0.0002354
normal,0.0001904,0.001602,0.001849,0.0001009,0.00186,0.0001033,0.0005246,0.0007315,0.000169,0.0001642
normal,0.0000835,0.00121,0.001142,0.0000406,0.0009199,0.0000892,0.0003429,0.000455,0.0000993,0.000097
normal,0.0001237,0.002583,0.001746,0.0000988,0.001516,0.0001291,0.0007538,0.0009739,0.0001651,0.0002322
normal,0.0001131,0.002093,0.001777,0.0000678,0.001234,0.0001422,0.0003538,0.0009666,0.0001711,0.0002051
normal,0.0001338,0.001516,0.00146,0.0000936,0.001091,0.0001357,0.0003473,0.0006773,0.0001228,0.0001532
normal,0.000801,0.007533,0.004805,0.0008394,0.002654,0.0008695,0.00176,0.005357,0.0009338,0.001135
normal,0.0003393,0.002689,0.002115,0.0004648,0.001732,0.000424,0.001444,0.002794,0.0004338,0.0006314
normal,0.0007232,0.004539,0.003956,0.0005977,0.00202,0.0006893,0.0007536,0.004093,0.0009586,0.001301
normal,0.0002155,0.004884,0.005007,0.0001667,0.002046,0.0001966,0.0008165,0.001657,0.0003533,0.0003138
normal,0.0000849,0.001697,0.001008,0.0000525,0.001034,0.0000429,0.0003748,0.0003248,0.0000987,0.000087
normal,0.0000794,0.001638,0.001391,0.0000528,0.0004768,0.0000509,0.0003571,0.000338,0.0001006,0.0000813
normal,0.0002448,0.002047,0.002096,0.0000739,0.002519,0.0001188,0.0006097,0.0009402,0.0002018,0.0002365
normal,0.0001975,0.003326,0.002603,0.000278,0.001586,0.0003246,0.0005367,0.002672,0.000415,0.000734
normal,0.0001545,0.002581,0.001995,0.00011,0.001294,0.0001108,0.0003064,0.000813,0.0002846,0.0001781
normal,0.000539,0.003129,0.00259,0.0004589,0.002094,0.0004616,0.0009941,0.002818,0.0006529,0.0006643
normal,0.0001528,0.001684,0.001768,0.0001024,0.001863,0.0001193,0.0004978,0.0007356,0.0001637,0.0001448
normal,0.0001575,0.004585,0.003116,0.0002149,0.002307,0.0001657,0.002973,0.001315,0.0003322,0.0001918
normal,0.0000628,0.001307,0.001048,0.0000569,0.000974,0.0000606,0.001477,0.0003811,0.000119,0.0001207
normal,0.0001813,0.002513,0.001592,0.0001129,0.001921,0.0001066,0.000289,0.0007379,0.0001608,0.0001508
normal,0.0005026,0.004144,0.002424,0.0006215,0.002414,0.0007063,0.0006177,0.004633,0.001037,0.001078
